R2-PINH1,102.87,31.75,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,161.29,25.40,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,161.29,22.86,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,134.62,33.02,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,82.55,6.35,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,80.01,6.35,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,46.15,0.20,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,41.91,29.21,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,62.30,82.28,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,21.26,81.78,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,51.84,-1.85,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,34.16,89.83,180.00,,MYBUTTON
R_BOOT,68.64,87.55,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,102.91,40.14,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,51.07,88.65,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,72.39,1.27,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,28.51,89.25,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,167.65,-6.35,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,72.39,-6.35,0.00,,SJ
TP1,87.63,85.09,0.00,TPTP20R,TP20R
TP10,16.51,-6.35,0.00,TPTP20R,TP20R
TP11,21.59,-6.35,0.00,TPTP20R,TP20R
TP12,27.94,-6.35,0.00,TPTP20R,TP20R
TP13,34.29,-6.35,0.00,TPTP20R,TP20R
TP14,100.30,74.98,90.00,TPTP20R,TP20R
TP15,100.30,68.58,90.00,TPTP20R,TP20R
TP16,100.30,62.28,90.00,TPTP20R,TP20R
TP17,100.30,55.88,90.00,TPTP20R,TP20R
TP2,93.98,85.09,0.00,TPTP20R,TP20R
TP3,100.30,85.09,0.00,TPTP20R,TP20R
TP4,157.48,45.72,270.00,TPTP20R,TP20R
TP5,157.48,40.64,270.00,TPTP20R,TP20R
TP6,16.51,0.00,0.00,TPTP20R,TP20R
TP7,21.59,0.00,0.00,TPTP20R,TP20R
TP8,27.94,0.00,0.00,TPTP20R,TP20R
TP9,34.29,0.00,0.00,TPTP20R,TP20R
U1,45.72,39.37,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,26.30,35.61,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,95.25,35.56,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,140.97,34.29,0.00,MAX17048G+T10,SON50P200X200X80-9N
